"","Week","Population","Treatment","Phase","mean_chl","mean_cond"
"82",5,"Koko","PD","Treatment",34.475,143.233333333333
"83",5,"Makaha","C","Pre-Recovery",31.97,691.74
"84",5,"Makaha","PD","Pre-Recovery",27.8142857142857,120.385714285714
"85",5,"Ohikilolo1","C","Mid-Recovery",23.6818181818182,771.054545454545
"86",5,"Ohikilolo1","PD","Mid-Recovery",19.4666666666667,220
"87",5,"Ohikilolo2","C","Pre-Recovery",31.17,606.8
"88",5,"Ohikilolo2","PD","Pre-Recovery",34.7444444444444,133.044444444444
"89",5,"Saddle","C","Mid-Recovery",26.2,543.2
"90",5,"Saddle","PD","Mid-Recovery",20.9,281.933333333333
"91",6,"Ekahanui","C","Post-Recovery",18.3444444444444,479.877777777778
"92",6,"Ekahanui","PD","Post-Recovery",24.7,469.75
"93",6,"Kahanahaiki","C","Post-Recovery",29.61,487.36
"94",6,"Kahanahaiki","PD","Post-Recovery",36.3833333333333,430.516666666667
"95",6,"Keaau","C","Pre-Recovery",31.72,688.59
"96",6,"Keaau","PD","Pre-Recovery",39.525,120.7625
"97",6,"Kealia","C","Pre-Recovery",33.37,337.55
"98",6,"Kealia","PD","Pre-Recovery",36.7333333333333,65.5833333333333
"99",6,"Koko","C","Treatment",35.3916666666667,838.966666666667
"100",6,"Koko","PD","Treatment",32.2333333333333,93.7
"101",6,"Makaha","C","Mid-Recovery",32.23,501.88
"102",6,"Makaha","PD","Mid-Recovery",26.9,313.183333333333
"103",6,"Ohikilolo1","C","Post-Recovery",25.7909090909091,543.845454545455
"104",6,"Ohikilolo1","PD","Post-Recovery",28.85,555.7
"105",6,"Ohikilolo2","C","Mid-Recovery",28.6,342.99
"106",6,"Ohikilolo2","PD","Mid-Recovery",36.0375,370.575
"107",6,"Saddle","C","Post-Recovery",20.675,377.725
"108",6,"Saddle","PD","Post-Recovery",26.2333333333333,344.966666666667
"109",7,"Keaau","C","Mid-Recovery",31.6444444444444,378.933333333333
"110",7,"Keaau","PD","Mid-Recovery",35.2571428571429,428.5
"111",7,"Kealia","C","Mid-Recovery",27.6888888888889,721.688888888889
"112",7,"Kealia","PD","Mid-Recovery",38.0666666666667,670.166666666667
"113",7,"Koko","C","Pre-Recovery",33.3416666666667,568.716666666667
"114",7,"Koko","PD","Pre-Recovery",20.3777777777778,28.6571428571429
"115",7,"Makaha","C","Post-Recovery",22.87,556.11
"116",7,"Makaha","PD","Post-Recovery",32.1166666666667,375.366666666667
"117",7,"Ohikilolo2","C","Post-Recovery",31.54,601.77
"118",7,"Ohikilolo2","PD","Post-Recovery",34.975,679.325
"119",8,"Keaau","C","Post-Recovery",33.375,492.0875
"120",8,"Keaau","PD","Post-Recovery",32.2571428571429,534.414285714286
"121",8,"Kealia","C","Post-Recovery",29.9777777777778,584.133333333333
"122",8,"Kealia","PD","Post-Recovery",28.1833333333333,575.066666666667
"123",8,"Koko","C","Mid-Recovery",32.5583333333333,488.6
"124",8,"Koko","PD","Mid-Recovery",25.4,155.1
"125",9,"Koko","C","Post-Recovery",31.4,557.066666666667
"126",9,"Koko","PD","Post-Recovery",33.3,295.6
