Group,Koko,Ohikilolo1,Saddle,Keaau,Kealia,Ohikilolo2,Kahanahaiki,Makaha,Ekahanui
Control,100,100,100,85,95,95,100,100,95
Drought,8.33,13.6,75,75,75,75,65,50,10
