NA,Koko,Ohikilolo1,Saddle,Keaau,Kealia,Ohikilolo2,Kahanahaiki,Makaha,Ekahanui
Control,4.7174,0.6451,1.6401,2.5894,2.7639,2.6072,1.2406,1.9648,1.45
Drought,0.0819,0.0944,1.0092,0.2921,0.2844,0.7106,0.2101,0.2001,0.241
