Week,Population,ID,Treatment,Conductance,Chlorophyll,Alpha,ETRmax,Ek,NPQmax,Fv/Fm,Phase
4,Koko,K16A,C,690.9,32,0.174,140.262,805.57,1.045,0.611,Treatment
4,Koko,K17A,C,759.5,26.3,0.168,151.208,898.733,1.034,0.587,Treatment
4,Koko,K18A,C,756.7,32.2,0.19,190.692,1004.612,1.034,0.614,Treatment
4,Koko,K19A,C,715.6,25.3,0.181,152.946,843.491,1.249,0.623,Treatment
4,Koko,K20A,C,522.3,25.5,0.185,210.812,1141.012,0.833,0.646,Treatment
4,Koko,K21A,C,810.9,20.1,0.171,127.837,748.229,1.286,0.574,Treatment
4,Koko,K22A,C,483.2,34.1,0.174,158.534,913.405,0.994,0.593,Treatment
4,Koko,K23A,C,532.1,25.8,0.166,123.023,742.949,1.544,0.639,Treatment
4,Koko,K24A,C,671.4,32.8,0.184,171.631,930.993,1.099,0.678,Treatment
4,Koko,K37A,PD,187.9,30.6,0.18,104.932,584.126,0.765,0.746,Treatment
4,Koko,K38A,PD,96.3,38.3,0.201,69.726,346.805,0.666,0.68,Treatment
4,Koko,K39A,PD,129.4,35,0.17,110.206,649.232,1.415,0.7,Treatment
4,Koko,K40A,PD,181.8,33.3,0.165,82.04,498.219,1.176,0.698,Treatment
4,Koko,K41A,PD,222.5,28.9,0.171,113.24,663.903,0.622,0.736,Treatment
4,Koko,K42A,PD,96.3,28.1,0.183,119.477,652.847,0.571,0.73,Treatment
4,Koko,K43A,PD,72.1,33.3,0.155,122.143,787.396,0.805,0.735,Treatment
4,Koko,K44A,PD,231.8,29,0.178,102.036,574.563,0.76,0.715,Treatment
4,Koko,K45A,PD,181,28,0.21,71.684,341.293,0.366,0.696,Treatment
4,Koko,K46A,PD,186.7,36.8,0.179,128.779,721.142,0.943,0.736,Treatment
4,Koko,K47A,PD,210.6,32,0.226,95.299,420.888,0.376,0.736,Treatment
4,Koko,K48A,PD,198.2,32,0.174,111.509,640.37,0.747,0.646,Treatment
5,Koko,K13A,C,657.2,34.6,0.194,156.132,805.146,0.656,0.714,Treatment
5,Koko,K14A,C,658.3,28.3,0.204,147.461,722.927,0.92,0.732,Treatment
5,Koko,K15A,C,648.6,36.3,0.211,108.689,514.214,1.134,0.687,Treatment
5,Koko,K16A,C,609.9,38.4,0.176,188.987,1076.432,0.857,0.677,Treatment
5,Koko,K17A,C,595.4,29.5,0.182,142.191,780.894,1.012,0.667,Treatment
5,Koko,K18A,C,580.2,28.7,0.191,216.389,1130.919,0.503,0.689,Treatment
5,Koko,K19A,C,646,24,0.208,166.052,799.23,0.615,0.685,Treatment
5,Koko,K20A,C,703.1,36.4,0.195,164.554,844.188,0.567,0.692,Treatment
5,Koko,K21A,C,790.6,22.9,0.196,124.998,636.818,0.575,0.633,Treatment
5,Koko,K22A,C,753.3,37.8,0.19,172.104,906.278,0.557,0.686,Treatment
5,Koko,K23A,C,616.7,34.9,0.21,194.63,927.04,0.316,0.732,Treatment
5,Koko,K24A,C,622.7,26.2,0.197,155.575,791.387,0.347,0.5,Treatment
5,Koko,K37A,PD,142.8,31.6,0.144,74.199,513.781,0.782,0.755,Treatment
5,Koko,K38A,PD,63,36.7,0.03,10.714,357.417,0.112,0.111,Treatment
5,Koko,K39A,PD,104.4,40.1,0.167,84.361,505.494,0.722,0.732,Treatment
5,Koko,K40A,PD,223.2,34.5,0.183,103.068,564.039,0.947,0.735,Treatment
5,Koko,K41A,PD,175.8,41.6,0.224,63.27,282.893,0.404,0.75,Treatment
5,Koko,K42A,PD,100,27.1,0.216,102.68,475.608,0.661,0.717,Treatment
5,Koko,K43A,PD,117.7,36.8,0.194,120.638,621.729,0.377,0.722,Treatment
5,Koko,K44A,PD,121.2,31,0.202,106.457,526.413,0.358,0.721,Treatment
5,Koko,K45A,PD,62.1,30.3,0.218,116.145,533.851,0.743,0.725,Treatment
5,Koko,K46A,PD,138.9,44.9,0.193,118.746,616.348,0.684,0.734,Treatment
5,Koko,K47A,PD,152.6,31,0.219,87.031,396.626,0.377,0.692,Treatment
5,Koko,K48A,PD,317.1,28.1,0.21,109.311,521.697,1.251,0.68,Treatment
6,Koko,K13A,C,1061.5,36.5,0.18,171.003,947.908,0.94,0.621,Treatment
6,Koko,K14A,C,1302.5,32.7,0.174,199.42,1146.851,0.32,0.579,Treatment
6,Koko,K15A,C,1138.4,30,0.154,140.591,911.985,0.681,0.569,Treatment
6,Koko,K16A,C,1103.2,40.4,0.188,191.071,1016.241,0.905,0.621,Treatment
6,Koko,K17A,C,632.8,40.2,0.161,149.047,923.446,0.586,0.556,Treatment
6,Koko,K18A,C,681.3,34.5,0.189,170.037,897.345,0.938,0.614,Treatment
6,Koko,K19A,C,750.1,37.1,0.187,199.955,1066.98,0.68,0.626,Treatment
6,Koko,K20A,C,522.2,36.4,0.181,204.524,1128.087,0.709,0.582,Treatment
6,Koko,K21A,C,643.2,27.1,0.152,137.174,903.424,0.515,0.496,Treatment
6,Koko,K22A,C,726.9,30.3,0.17,226.457,1332.543,0.521,0.581,Treatment
6,Koko,K23A,C,680,41.8,0.204,190.621,934.752,1.18,0.704,Treatment
6,Koko,K24A,C,825.5,37.7,0.188,187.869,997.778,0.545,0.592,Treatment
6,Koko,K37A,PD,73.1,35.8,NA,NA,NA,-0.107,0.09,Treatment
6,Koko,K38A,PD,91.7,15.4,NA,NA,NA,NA,0.012,Treatment
6,Koko,K39A,PD,43.9,45.3,0.105,65.042,620.335,0.007,0.361,Treatment
6,Koko,K40A,PD,100.5,29.7,0.111,86.845,780.275,-0.016,0.309,Treatment
6,Koko,K41A,PD,182.7,29.5,0.63,106.648,655.936,1.103,0.591,Treatment
6,Koko,K42A,PD,48.6,29.9,0.12,65.851,548.442,1.12,0.504,Treatment
6,Koko,K43A,PD,48.1,41,0.148,63.948,433.103,1.803,0.633,Treatment
6,Koko,K44A,PD,226.7,39.7,0.183,81.307,444.808,1.142,0.674,Treatment
6,Koko,K45A,PD,121.8,36.8,0.211,60.684,287.538,0.31,0.697,Treatment
6,Koko,K46A,PD,37.6,43.3,0.148,59.36,401.637,0.743,0.574,Treatment
6,Koko,K47A,PD,43.3,11.1,0.059,61.564,1040.827,-0.028,0.183,Treatment
6,Koko,K48A,PD,106.4,29.3,0.185,76.983,416.042,0.58,0.684,Treatment
7,Koko,K13A,C,487.3,37.7,0.194,224.061,1155.008,0.872,0.696,Pre-Recovery
7,Koko,K14A,C,766.6,36.4,0.185,171.72,928.288,0.929,0.665,Pre-Recovery
7,Koko,K15A,C,583.4,28.7,0.182,213.179,1168.899,1.096,0.624,Pre-Recovery
7,Koko,K16A,C,602.6,28.8,0.204,134.822,662.17,NA,0.66,Pre-Recovery
7,Koko,K17A,C,442.9,30.9,0.185,127.258,687.855,0.944,0.707,Pre-Recovery
7,Koko,K18A,C,633.2,34.5,0.203,195.186,963.158,0.82,0.615,Pre-Recovery
7,Koko,K19A,C,625.9,28.2,0.194,129.436,668.497,1.129,0.667,Pre-Recovery
7,Koko,K20A,C,331.8,26.2,0.185,139.014,749.757,1.569,0.667,Pre-Recovery
7,Koko,K21A,C,706.6,32.9,0.182,161.803,887.491,1.078,0.612,Pre-Recovery
7,Koko,K22A,C,653.3,40.4,0.181,182.149,1008.119,0.682,0.611,Pre-Recovery
7,Koko,K23A,C,463.2,33,0.185,161.333,872.162,0.597,0.587,Pre-Recovery
7,Koko,K24A,C,527.8,42.4,0.192,227.824,1186.91,0.681,0.687,Pre-Recovery
7,Koko,K40A,PD,56.9,2.4,NA,NA,NA,NA,0.007,Pre-Recovery
7,Koko,K41A,PD,25,32.4,0.159,88.766,558.488,0.672,0.528,Pre-Recovery
7,Koko,K42A,PD,21.6,24.6,0.033,20.977,639.892,0.012,0.061,Pre-Recovery
7,Koko,K43A,PD,23.8,7.3,0.008,554.027,72983.673,-0.009,0.027,Pre-Recovery
7,Koko,K44A,PD,36,35.5,0.136,94.36,693.796,0.853,0.588,Pre-Recovery
7,Koko,K45A,PD,15.5,37.8,0.021,6.139,293.591,0.017,0.059,Pre-Recovery
7,Koko,K46A,PD,NA,24.1,NA,NA,NA,NA,0.143,Pre-Recovery
7,Koko,K47A,PD,NA,1.7,NA,NA,NA,NA,NA,Pre-Recovery
7,Koko,K48A,PD,21.8,17.6,0.018,30.227,1711.479,-0.033,0.059,Pre-Recovery
8,Koko,K13A,C,330.3,25.1,0.2,129.897,650.827,1.777,0.642,Mid-Recovery
8,Koko,K14A,C,536.6,27.8,0.19,186.539,983.822,0.626,0.602,Mid-Recovery
8,Koko,K15A,C,339.3,34.6,0.19,159.615,841.55,0.561,0.588,Mid-Recovery
8,Koko,K16A,C,516.3,35.2,0.195,176.742,908.267,1.346,0.664,Mid-Recovery
8,Koko,K17A,C,520.4,33.1,0.171,144.56,843.257,0.697,0.599,Mid-Recovery
8,Koko,K18A,C,502.8,33.4,0.194,174.073,896.419,0.981,0.641,Mid-Recovery
8,Koko,K19A,C,462.3,26.1,0.18,153.211,850.379,1.172,0.646,Mid-Recovery
8,Koko,K20A,C,507.6,38.8,0.179,165.302,922.089,1.044,0.628,Mid-Recovery
8,Koko,K21A,C,515.1,29,0.166,147.527,888.299,1.24,0.595,Mid-Recovery
8,Koko,K22A,C,629.4,37.4,0.191,192.232,1004.555,0.527,0.619,Mid-Recovery
8,Koko,K23A,C,513,31.2,0.172,139.475,808.719,0.747,0.71,Mid-Recovery
8,Koko,K24A,C,490.1,39,0.19,156.904,824.411,0.958,0.706,Mid-Recovery
8,Koko,K41A,PD,155.1,25.4,0.14,142.056,1011.539,0.946,0.453,Mid-Recovery
9,Koko,K13A,C,415.5,27.8,0.198,92.937,469.405,1.264,0.667,Post-Recovery
9,Koko,K14A,C,631.2,43.3,0.19,144.383,758.234,0.844,0.651,Post-Recovery
9,Koko,K15A,C,350.2,30.3,0.181,125.896,697.103,0.701,0.563,Post-Recovery
9,Koko,K16A,C,471.6,36.8,0.189,123.923,655.898,1.72,0.623,Post-Recovery
9,Koko,K17A,C,461,32.3,0.162,96.33,595.825,1.029,0.569,Post-Recovery
9,Koko,K18A,C,507.6,30.5,0.188,147.497,784.537,1.137,0.667,Post-Recovery
9,Koko,K19A,C,733.9,28.1,0.186,148.793,797.879,1.122,0.672,Post-Recovery
9,Koko,K20A,C,551.4,31.5,0.173,167.743,972.015,0.836,0.608,Post-Recovery
9,Koko,K21A,C,652.2,22.5,0.179,165.151,923.092,1.036,0.637,Post-Recovery
9,Koko,K22A,C,672.2,36.5,0.201,146.187,726.252,1.437,0.704,Post-Recovery
9,Koko,K23A,C,669.1,31.8,0.177,124.965,705.418,0.913,0.622,Post-Recovery
9,Koko,K24A,C,568.9,25.4,0.195,207.094,1063.861,0.811,0.687,Post-Recovery
9,Koko,K41A,PD,295.6,33.3,0.162,80.701,496.829,0.191,0.459,Post-Recovery
1,Ohikilolo1,K12B,C,569,23.2,0.162,124.94,772.378,1.062,0.582,Treatment
1,Ohikilolo1,K13B,C,626.9,21.6,0.192,167.055,870.629,0.798,0.674,Treatment
1,Ohikilolo1,K14B,C,568.5,19.2,0.166,118.137,712.331,1.003,0.598,Treatment
1,Ohikilolo1,K15B,C,775.7,26.7,0.188,140.699,749.358,0.829,0.646,Treatment
1,Ohikilolo1,K16B,C,657.7,20.6,0.153,62.367,408.062,0.604,0.463,Treatment
1,Ohikilolo1,K17B,C,628.9,26,0.195,139.081,712.411,1.489,0.677,Treatment
1,Ohikilolo1,K18B,C,647.8,28.2,0.198,153.679,774.399,0.792,0.667,Treatment
1,Ohikilolo1,K19B,C,788.3,22.4,0.18,165.514,917.731,1.077,0.646,Treatment
1,Ohikilolo1,K20B,C,377.9,29,0.19,144.578,760.132,1.401,0.625,Treatment
1,Ohikilolo1,K21B,C,701.4,27.8,0.181,100.906,558.767,1.465,0.572,Treatment
1,Ohikilolo1,K22B,C,742.3,39.8,0.2,161.249,806.328,0.743,0.705,Treatment
1,Ohikilolo1,K34B,PD,578.4,33,0.201,192.148,957.603,0.737,0.676,Treatment
