Population,ID,Treatment,Fate,Survival,Longevity,TFC,Shoot,LMAleaf,Peelleaf,Aboveground,Belowground,Biomass,RSratio,Area,LMA
Kahanahaiki,K35G,PD,H,1,,,0.0393,0.0134,0.0127,0.0654,0.0199,0.0853,0.304281346,0.00023340,57.41216795
Ohikilolo2,K12F,C,H,1,,,0.6599,0.1463,0.0894,0.8956,0.3611,1.2567,0.40319339,0.00254350,57.5191665
Kealia,K13E,C,H,1,,,2.2621,0.2167,0.1652,2.644,0.6089,3.2529,0.230295008,0.00372900,58.1120944
Keaau,K39D,PD,H,1,,,0.1259,0.0239,0.0175,0.1673,0.0814,0.2487,0.486551106,0.00041100,58.15085158
Makaha,K12H,C,H,1,,,0.9595,0.1074,0.0698,1.1367,0.5861,1.7228,0.515615378,0.00184190,58.30935447
Saddle,K15C,PD,H,1,,,0.5622,0.0355,0.0612,0.6589,0.1121,0.771,0.170132038,0.00060650,58.53256389
Kealia,K35E,PD,H,1,,,0.1125,0.0168,0.017,0.1463,0.021,0.1673,0.14354067,0.00028580,58.78236529
Makaha,K15H,C,H,1,,,1.9531,0.2363,0.1788,2.3682,0.7442,3.1124,0.314247108,0.00400820,58.954144
Ohikilolo2,K15F,C,H,1,,,2.3947,0.1611,0.0813,2.6371,1.1780,3.8151,0.446702817,0.00271040,59.43772137
Ohikilolo2,K35F,PD,H,1,,,0.7482,0.1272,0.1103,0.9857,0.2793,1.265,0.283351933,0.00212720,59.79691613
Kealia,K20E,C,H,1,,,1.3014,0.0790,0.0663,1.4467,0.2064,1.6531,0.142669524,0.00131990,59.85301917
Kealia,K11E,C,H,1,,,0.5462,0.1103,0.0718,0.7283,0.1046,0.8329,0.143622134,0.00182460,60.45160583
Ekahanui,K17I,C,H,1,,,0.0494,0.0074,0.087,0.1438,0.0208,0.1646,0.144645341,0.00012080,61.25827815
Ekahanui,K15I,C,H,1,,,0.7464,0.1080,0.0774,0.9318,0.2299,1.1617,0.246726765,0.00176250,61.27659574
Ohikilolo2,K16F,C,H,1,,,1.1047,0.1316,0.1054,1.3417,0.4696,1.8113,0.350003727,0.00214390,61.38346005
Kahanahaiki,K12G,C,H,1,,,0.7965,0.1261,0.1116,1.0342,0.2119,1.2461,0.204892671,0.00205150,61.46721911
Keaau,K34D,PD,H,1,,,0.2359,0.0371,0.0282,0.3012,0.0598,0.361,0.198539177,0.00059410,62.44739943
Keaau,K19D,C,H,1,,,3.473,0.1660,0.0862,3.7252,0.9661,4.6913,0.25934178,0.00264960,62.65096618
Keaau,K33D,PD,H,1,,,0.1458,0.0546,0.0351,0.2355,0.0393,0.2748,0.166878981,0.00086780,62.91772298
Makaha,K35H,PD,H,1,,,0.0328,0.0140,0.0109,0.0577,0.0281,0.0858,0.487001733,0.00022190,63.09148265
Kahanahaiki,K36G,PD,H,1,,,0.1087,0.0193,0.0147,0.1427,0.0544,0.1971,0.381219341,0.00030570,63.1337913
Ekahanui,K16I,C,H,1,,,0.689,0.1245,0.01172,0.82522,0.4116,1.23682,0.498776084,0.00196420,63.38458405
Ekahanui,K36I,PD,H,1,,,0.1438,0.0317,0.0317,0.2072,0.0379,0.2451,0.182915058,0.00049960,63.45076061
Kahanahaiki,K17G,C,H,1,,,1.0237,0.0761,0.0888,1.1886,0.517,1.7056,0.434965506,0.00119710,63.57029488
Ohikilolo2,K11F,C,H,1,,,1.9412,0.1427,0.087,2.1709,0.5949,2.7658,0.274033811,0.00223020,63.9852928
Ohikilolo2,K18F,C,H,1,,,4.0603,0.2327,0.123,4.416,0.8796,5.2956,0.199184783,0.00360440,64.55998224
Kealia,K19E,C,H,1,,,3.5902,0.1580,0.2097,3.9579,0.6348,4.5927,0.160388085,0.00243880,64.78596031
Ohikilolo2,K32F,PD,H,1,,,0.4552,0.0471,0.0558,0.5581,0.1199,0.678,0.214836051,0.00072630,64.84923585
Kahanahaiki,K31G,PD,H,1,,,0.1036,0.0378,0.0308,0.1722,0.1155,0.2877,0.670731707,0.00057940,65.23990335
Ohikilolo2,K40F,PD,H,1,,,0.1021,0.0228,0.0093,0.1342,0.1063,0.2405,0.792101341,0.00034770,65.57377049
Keaau,K14D,C,H,1,,,0.3981,0.0635,0.1019,0.5635,0.1493,0.7128,0.264951198,0.00095030,66.82100389
Kealia,K16E,C,H,1,,,4.1627,0.2261,0.1922,4.581,0.5468,5.1278,0.119362585,0.00337260,67.04026567
Kealia,K14E,C,H,1,,,1.7614,0.2179,0.1899,2.1692,0.5711,2.7403,0.263276784,0.00324630,67.12257031
Kealia,K33E,PD,H,1,,,0.1669,0.0276,0.0303,0.2248,0.0555,0.2803,0.246886121,0.00041000,67.31707317
Makaha,K36H,PD,H,1,,,0.0286,0.0109,0.0051,0.0446,0.017,0.0616,0.381165919,0.00016120,67.617866
Ohikilolo2,K20F,C,H,1,,,3.7347,0.1993,0.163,4.097,1.4472,5.5442,0.353234074,0.00293260,67.96017186
Kahanahaiki,K13G,C,H,1,,,1.0051,0.1068,0.0776,1.1895,0.2702,1.4597,0.227154266,0.00156960,68.04281346
Saddle,K14C,PD,H,1,,,0.4281,0.0372,0.0294,0.4947,0.065,0.5597,0.131392763,0.00054560,68.18181818
Saddle,K7C,C,H,1,,,2.0595,0.0788,0.0415,2.1798,0.4563,2.6361,0.209331131,0.00114840,68.61720655
Keaau,K12D,C,H,1,,,2.1342,0.1257,0.0866,2.3465,1.1308,3.4773,0.481909227,0.00182740,68.78625369
Kahanahaiki,K16G,C,H,1,,,1.1595,0.1469,0.0671,1.3735,0.3973,1.7708,0.289261012,0.00212510,69.12615877
Kahanahaiki,K39G,PD,H,1,,,0.0582,0.0306,0.0181,0.1069,0.0333,0.1402,0.31150608,0.00043680,70.05494505
Kealia,K15E,C,H,1,,,2.6385,0.2245,0.1241,2.9871,1.0311,4.0182,0.345184292,0.00320340,70.0817881
Saddle,K8C,C,H,1,,,0.2451,0.0552,0.0401,0.3404,0.064,0.4044,0.188014101,0.00078530,70.2916083
Ohikilolo2,K34F,PD,H,1,,,0.341,0.0516,0.0514,0.444,0.1892,0.6332,0.426126126,0.00072260,71.40880155
Makaha,K34H,PD,H,1,,,0.1063,0.0137,0.0101,0.1301,0.0555,0.1856,0.426594927,0.00017820,76.87991021
Kahanahaiki,K15G,C,H,1,,,1.3504,0.1659,0.1072,1.6235,0.4782,2.1017,0.294548814,0.00207170,80.07916204
Keaau,K11D,C,H,1,,,2.2834,0.1083,0.0798,2.4715,0.3735,2.845,0.1511228,0.00129230,83.80407026
Ohikilolo1,K39B,PD,H,1,,,,,,0.0565,0.0139,0.0704,0.246017699,,
Koko,K41A,PD,H,1,,,,,,0.0587,0.0232,0.0819,0.395229983,,
Ohikilolo1,K37B,PD,H,1,,,,,,0.0949,0.0235,0.1184,0.247629083,,
Ohikilolo1,K15B,C,H,1,,,,,,0.3017,0.0401,0.3418,0.13291349,,
Ohikilolo1,K18B,C,H,1,,,,,,0.3123,0.0316,0.3439,0.101184758,,
Ohikilolo1,K13B,C,H,1,,,,,,0.4074,0.0393,0.4467,0.09646539,,
Ohikilolo1,K14B,C,H,1,,,,,,0.4569,0.0393,0.4962,0.086014445,,
Ohikilolo1,K17B,C,H,1,,,,,,0.5099,0.0533,0.5632,0.1045303,,
Ohikilolo1,K12B,C,H,1,,,,,,0.5579,0.0676,0.6255,0.121168668,,
